college_name,state,stream,affiliation,website,placement_officer_name,placement_email,placement_phone,backup_emails_found,backup_phones_found,fallback_contact_email,fallback_contact_phone,confidence_score,source_urls,email_verified,last_scraped,status,outreach_status
Aditya Institute of Technology and Management,Andhra Pradesh,Engineering,JNTUK/JNTUA (directory),https://www.adityatekkali.edu.in/placements.php,,info@adityatekkali.edu.in,,"tpo@adityatekkali.edu.in, srikanth.vvvs@adityatekkali.edu.in, srinivasarao.sh@adityatekkali.edu.in, sramkishore@adityatekkali.edu.in, tpo@adityatekkali.edu.in, srikanth.vvvs@adityatekkali.edu.in, srinivasarao.sh@adityatekkali.edu.in, sramkishore@adityatekkali.edu.in","+91-9246632103, +91-9441750606, +91-9885562369",info@adityatekkali.edu.in,+91-7989283335,0,,0,,Needs Follow-up,New
Aditya Institute of Technology and Management Engineering Courses,Andhra Pradesh,Engineering,,https://adityatekkali.edu.in/,,tpo@adityatekkali.edu.in,,"info@adityatekkali.edu.in, debnathb@adityatekkali.edu.in, srikanth.vvvs@adityatekkali.edu.in, srinivasarao.sh@adityatekkali.edu.in, sramkishore@adityatekkali.edu.in, ce.aitam@adityatekkali.edu.in, librarian@adityatekkali.edu.in, physicaldirector@adityatekkali.edu.in, ncc@adityatekkali.edu.in, nss@adityatekkali.edu.in, bvg.muralikrishna@adityatekkali.edu.in, cao@adityatekkali.edu.in, ao@adityatekkali.edu.in, chiefwarden@adityatekkali.edu.in, mvramana6028@adityatekkali.edu.in, aitamweb@adityatekkali.edu.in, director@adityatekkali.edu.in, principal@adityatekkali.edu.in, dean.academics@adityatekkali.edu.in, dean.dnp@adityatekkali.edu.in, deanadmin@adityatekkali.edu.in, dean.rnd@adityatekkali.edu.in, hod.cse@adityatekkali.edu.in, hod.csm@adityatekkali.edu.in, hod.csd@adityatekkali.edu.in, hod.ece@adityatekkali.edu.in, hod.mech@adityatekkali.edu.in, hod.it@adityatekkali.edu.in, hod.eee@adityatekkali.edu.in, hod.civil@adityatekkali.edu.in, hod.bsh@adityatekkali.edu.in, hod.mba@adityatekkali.edu.in, hod.mca@adityatekkali.edu.in, agkc@adityatekkali.edu.in, chappa_ramesh01@yahoo.co.in, skrmahanthi@gmail.com, yugndasari@gmail.com, ramesh_aitam@yahoo.com, dasaradha9999@gmail.com, info@gokartchampionship.com","+91-9440195534, +91-9440121465, +91-9903682993, +91-9441053733, +91-9959658266, +91-7021997415, +91-9247858288, +91-9866647223, +91-9490457054, +91-9246631433, +91-9849765747, +91-6300701673, +91-9491808717, +91-9441306123, +91-9985660927, +91-9492422132, +91-9490105045, +91-9938444417, +91-7013596024, +91-9704571003, +91-9010751045, +91-9704192559, +91-7989283335, +91-9246632103, +91-9441750606, +91-9100592618, +91-9440112840, +91-9866862697, +91-9959286923, +91-9440550343, +91-9246657913, +91-9246657911, +91-9246631885, +91-9494001194, +91-9440275540, +91-9966579138, +91-9246981131, +91-9246657914, +91-9246636904, +91-9246657908, +91-9121563613",,+91-9440195534,85,"https://adityatekkali.edu.in/industrytraining.php, https://adityatekkali.edu.in/contact.php, https://adityatekkali.edu.in/, https://adityatekkali.edu.in/hostels.php, https://adityatekkali.edu.in/gokart/, https://adityatekkali.edu.in/secretarymessage.php, https://adityatekkali.edu.in/grievances.php, https://adityatekkali.edu.in/startup_support.php",0,2026-08-03T11:43:19+00:00,Needs Follow-up,New
Aditya University,Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",https://www.adityauniversity.in,,info@adityauniversity.in,,,,info@adityauniversity.in,+91-9989776661,0,,0,,Needs Follow-up,New
Aditya degree college Rajahmundhry,Andhra Pradesh,BCA,Various AP Universities,https://aditya.ac.in/,,adcrjy@aditya.ac.in,,,,adcrjy@aditya.ac.in,+91-8842376662,0,,0,,Needs Follow-up,New
"Akshaya Institute of Technology, Tumkur",Karnataka,Engineering,VTU,https://ait-tumkur.ac.in/placement-team,,placement@ait-tumkur.ac.in,,"directorplacementait@gmail.com, placement@ait-tumkur.ac.in, principalakshayait@gmail.com","+91-9900909011, +91-9902252890, +91-9902238768, +91-9036934475, +91-7337725321, +91-8296322211",admissions.akshaya@gmail.com,+91-9686218245,0,,0,,Needs Follow-up,New
Alagappa Chettiar College of Engineering and Technology,Tamil Nadu,Engineering,Anna University,https://accet.ac.in/ecedept/ece-team,,accetprincipal@gmail.com,,"placementcell@accet.ac.in, drbaskaran@accetedu.in, placementcell@accet.ac.in, drbaskaran@accetedu.in",,accetprincipal@gmail.com,+91-4565224528,0,,0,,Needs Follow-up,New
Alagappa Government Arts College Sivaganga,Tamil Nadu,BCA,Anna University,https://rdgacollege.in/placement.php,,ketharajwelcomes@gmail.com,,"rdgacollege@gmail.com, rdgacollege@gmail.com",+91-9488525366,ketharajwelcomes@gmail.com,+91-9942037159,0,,0,,Needs Follow-up,New
"Alliance School of Applied Engineering, Bangalore",Karnataka,Engineering,,https://www.alliance.edu.in/,,,,,"+91-8046199000, +91-8041299200",placement@alliance.edu.in,+91-8046199000,100,"https://www.alliance.edu.in/about-us/teaching-excellence, https://www.alliance.edu.in/school/alliance-school-of-performing-visual-and-creative-arts, https://www.alliance.edu.in/school/alliance-global-business-school, https://www.alliance.edu.in/media-presence/",0,2026-08-02T10:58:21+00:00,Needs Follow-up,New
"Alliance University Bangalore - Alliance University, Bangalore",Karnataka,Engineering,,https://www.alliance.edu.in/,,,,,"+91-8046199000, +91-8041299200",placement@alliance.edu.in,+91-8046199000,100,"https://www.alliance.edu.in/placements/testimonials, https://www.alliance.edu.in/admissions/courses-fee-structure, https://www.alliance.edu.in/programmes/undergraduate, https://www.alliance.edu.in/campus-life/overview",0,2026-08-02T10:50:45+00:00,Needs Follow-up,New
Alliance University Vs Christ University,Andhra Pradesh,Engineering,,https://www.andhrauniversity.edu.in/,,,,,,,,100,,0,2026-08-02T11:35:53+00:00,Failed,New
"Alliance University, Bangalore Bangalore",Karnataka,BCA,,https://www.alliancerv.com/,,,,,,,,70,https://www.alliancerv.com/,0,2026-08-02T14:09:51+00:00,Failed,New
"Alpha College of Engineering, Bangalore",Karnataka,Engineering,VTU,https://alphagroup.edu/engineering/placement.php,,placementofficer@alphagroup.edu,,sujathaks@alphagroup.edu,,placementofficer@alphagroup.edu,+91-9944416301,0,,0,,Needs Follow-up,New
"Alva's Institute of Engineering and Technology, Moodabidri",Karnataka,Engineering,VTU,https://www.aiet.org.in,,principalaiet08@gmail.com,,,"+91-8050585606, +91-7026262725, +91-8055796060, +91-9448458334, +91-9845050268",principalaiet08@gmail.com,+91-8050579606,0,,0,,Needs Follow-up,New
"Alva’s College, Moodbidire Moodbidri",Karnataka,BCA,,https://alva-skates.com/,,,,,,,,70,"https://alva-skates.com/pages/contact-us, https://alva-skates.com/, https://alva-skates.com/search, https://alva-skates.com/pages/refund-policy, https://alva-skates.com/pages/become-an-alva-dealer, https://alva-skates.com/collections/truck, https://alva-skates.com/collections/complete, https://alva-skates.com/pages/warranty",0,2026-08-02T13:50:53+00:00,Failed,New
"Amity University, Bengaluru",Karnataka,Engineering,,https://www.amity.edu/bengaluru,,,,,,admissions.blr@amity.edu,+91-7303399000,90,"https://www.amity.edu/bengaluru, https://www.amity.edu/international/, https://www.amity.edu/bengaluru/public-self-disclosure.aspx, https://www.amity.edu/gwalior/, https://www.amity.edu/bengaluru/course-list.aspx?fd=Management&Programs=Graduate",0,2026-08-02T10:50:32+00:00,Failed,New
Amrita Sai Instt.of Sciences & Technology,Andhra Pradesh,Engineering,JNTUK/JNTUA (directory),https://amritasai.org.in/placements/training-and-placement-cell/,,info@amritasai.org.in,,"placements@amritasai.org.in, placements@amritasai.org.in","+91-9490794017, +91-9912889333, +91-8678277777",info@amritasai.org.in,+91-9490797539,0,,0,,Needs Follow-up,New
"Amrita School of Engineering, Coimbatore",Tamil Nadu,Engineering,,https://www.amrita.edu/,,,,"antiragging@c4yindia.orgwebsite, helpline@antiragging.inwebsite",,antiragging@c4yindia.orgwebsite,+91-8645277808,100,"https://www.amrita.edu/events/, https://www.amrita.edu/international/, https://www.amrita.edu/academics/?interest=pharmacy, https://www.amrita.edu/anti-ragging, https://www.amrita.edu/admissions/, https://www.amrita.edu/life-at-amrita/, https://www.amrita.edu/academics/?dgr=international, https://www.amrita.edu/terms-conditions/",0,2026-08-02T11:12:33+00:00,Needs Follow-up,New
"Amrutha Institute of Engineering and Management, Bangalore",Karnataka,Engineering,VTU,https://aiems.edu.in/,,aiemstpo@gmail.com,,principal@aiems.edu.in,+91-9141201831,aiemstpo@gmail.com,+91-9036568150,0,,0,,Needs Follow-up,New
Anantha Lakshmi Institute of Technology and Sciences,Andhra Pradesh,Engineering,JNTU,http://www.alits.ac.in,,principal@alits.ac.in,,,"+91-9676023906, +91-9492288869",principal@alits.ac.in,+91-9533513999,0,,0,,Needs Follow-up,New
"Andhra Polytechnic College, Kakinada",Andhra Pradesh,Engineering,,https://andhrapolytechnickakinada.ac.in/,,,+91-8842376192,principal_apt@yahoo.co.in,"+91-9490320247, +91-9440430467, +91-9441475196, +91-9100132356, +91-9493628389, +91-7737074757, +91-9491387266, +91-9000497191, +91-9494573316, +91-8125773957",principal_apt@yahoo.co.in,,100,"https://andhrapolytechnickakinada.ac.in/training-placement-committee, https://andhrapolytechnickakinada.ac.in/contact, https://andhrapolytechnickakinada.ac.in/, https://andhrapolytechnickakinada.ac.in/anti-ragging-committee, https://andhrapolytechnickakinada.ac.in/grievance-redressal-cell, https://andhrapolytechnickakinada.ac.in/department/automobile-engineering, https://andhrapolytechnickakinada.ac.in/examinitaion-cell-committee, https://andhrapolytechnickakinada.ac.in/academics",0,2026-08-02T12:40:25+00:00,Needs Follow-up,New
Andhra University College of Engineering Courses,Andhra Pradesh,Engineering,,https://www.greatandhra.com/,,,,,,,,70,"https://www.greatandhra.com/contact-us/, https://www.greatandhra.com/, https://www.greatandhra.com/articles/, https://www.greatandhra.com/box-office/, https://www.greatandhra.com/movies/",0,2026-08-03T09:13:17+00:00,Failed,New
"Andhra University College of Engineering, Andhra University, Visakhapatnam",Andhra Pradesh,Engineering,,https://www.andhrauniversity.edu.in/,,,,,,,,100,,0,2026-08-03T09:09:36+00:00,Failed,New
"Angadi Institute of Technology and Management, Belgaum",Karnataka,Engineering,VTU,https://aitmbgm.ac.in/nurturing-future-professionals-insights-from-the-training-and-placement-talk-at-aitm/,,info@aitmbgm.ac.in,,,+91-8312438123,info@aitmbgm.ac.in,+91-8312438100,0,,0,,Needs Follow-up,New
Anil Neerukonda Institute of Technology and Sciences Visakhapatnam,Andhra Pradesh,Engineering,,https://anits.edu.in/index2.html,,,,"principal@anits.edu.in, murali.eee@anits.edu.in, ao_admin@anits.edu.in","+91-8933226395, +91-7330789893, +91-9154220250, +91-9949867976",principal@anits.edu.in,+91-8933226395,55,"https://anits.edu.in/index2.html, https://anits.edu.in/honors_minors.php, https://anits.edu.in/index.html, https://anits.edu.in/, https://anits.edu.in/anits_onlinepayment.php, https://anits.edu.in/auditstatements.php, https://anits.edu.in/naac/rti.php, https://anits.edu.in/elearn_c.php",0,2026-08-03T14:06:31+00:00,Needs Follow-up,New
Anjalai Ammal Mahalingam Engineering College,Tamil Nadu,Engineering,Anna University,https://www.aamec.edu.in/,,placement@aamec.edu.in,,,,placement@aamec.edu.in,+91-4374232516,0,,0,,Needs Follow-up,New
"Anjuman Institute of Technology and Management, Bhatkal",Karnataka,Engineering,VTU,http://www.aitm.edu.in/,,aitm@anjuman.edu.in,,info@aitm.edu.in,+91-9916932224,aitm@anjuman.edu.in,+91-8385226283,0,,0,,Needs Follow-up,New
Anna University,Andhra Pradesh,Engineering,,https://www.annanurse.org/,,,,anna@annanurse.org,"+91-8886002662, +91-8562562320, +91-8565897463",anna@annanurse.org,+91-8886002662,70,"https://www.annanurse.org/contact-anna/, https://www.annanurse.org/, https://www.annanurse.org/advocacy/, https://www.annanurse.org/jobs/, https://www.annanurse.org/daisy-award/, https://www.annanurse.org/empowering-nephrology-nurses-introducing-anna-microcredentials/, https://www.annanurse.org/anna-news-updates/, https://www.annanurse.org/education/",0,2026-08-03T10:07:41+00:00,Needs Follow-up,New
Anna University - Ariyalur Campus,Tamil Nadu,Engineering,Anna University,https://auucea.edu.in,,ucea@auucea.edu.in,,,,ucea@auucea.edu.in,,0,,0,,Needs Follow-up,New
Anna University - Pattukkottai Campus,Tamil Nadu,Engineering,Anna University,https://ceg.annauniv.edu/placements.html,,deanceg@annauniv.edu,,"cegdeanoffice@gmail.com, cegdeanoffice@gmail.com","+91-4422358476, +91-4422358478",deanceg@annauniv.edu,+91-4422358491,0,,0,,Needs Follow-up,New
Anna University - Ramanathapuram Campus,Tamil Nadu,Engineering,Anna University,https://ceg.annauniv.edu/placements.html,,deanceg@annauniv.edu,,"cegdeanoffice@gmail.com, cegdeanoffice@gmail.com","+91-4422358476, +91-4422358478",deanceg@annauniv.edu,+91-4422358491,0,,0,,Needs Follow-up,New
Anna University - Tharamani Campus,Tamil Nadu,Engineering,Anna University,https://ceg.annauniv.edu/placements.html,,deanceg@annauniv.edu,,"cegdeanoffice@gmail.com, cegdeanoffice@gmail.com","+91-4422358476, +91-4422358478",deanceg@annauniv.edu,+91-4422358491,0,,0,,Needs Follow-up,New
Anna University - Thirukkuvalai Campus,Tamil Nadu,Engineering,Anna University,https://www.aucetk.edu.in,,dean_ucetk@aucetk.edu.in,,"deantkly@gmail.com, deantkly@gmail.com","+91-9123582235, +91-9842499222, +91-4366245234, +91-9363338721",dean_ucetk@aucetk.edu.in,+91-9360733994,0,,0,,Needs Follow-up,New
Anna University - Tirunelveli Campus,Tamil Nadu,Engineering,Anna University,http://www.auttvl.ac.in,,helpdesk@auttvl.ac.in,,,,helpdesk@auttvl.ac.in,+91-4622551298,0,,0,,Needs Follow-up,New
Anna University - Trichy Campus,Tamil Nadu,Engineering,Anna University,https://ceg.annauniv.edu/placements.html,,deanceg@annauniv.edu,,"cegdeanoffice@gmail.com, cegdeanoffice@gmail.com","+91-4422358476, +91-4422358478",deanceg@annauniv.edu,+91-4422358491,0,,0,,Needs Follow-up,New
Anna University -College of Engineering Viluppuram,Tamil Nadu,Engineering,Anna University,https://www.annauniv.edu/CUICCentre/placement.html,,cuic.annauniv@gmail.com,,"cuic@annauniv.edu, ic@annauniv.edu, cuic@annauniv.edu, ic@annauniv.edu",+91-4422358991,cuic.annauniv@gmail.com,+91-4422358994,0,,0,,Needs Follow-up,New
Anna University College of Engineering Arni,Tamil Nadu,Engineering,Anna University,https://ceg.annauniv.edu/placements.html,,deanceg@annauniv.edu,,"cegdeanoffice@gmail.com, cegdeanoffice@gmail.com","+91-4422358476, +91-4422358478",deanceg@annauniv.edu,+91-4422358491,0,,0,,Needs Follow-up,New
Anna University College of Engineering Tindivanam,Tamil Nadu,Engineering,Anna University,http://www.aucet.in,,deanoffice.ucet@gmail.com,,,,deanoffice.ucet@gmail.com,+91-4147224477,0,,0,,Needs Follow-up,New
Anna University V.O.Chidambaranar College of Engineering,Tamil Nadu,Engineering,Anna University,http://www.annaunivtut.in,,deanautut@annauniv.edu,,,+91-4612311545,deanautut@annauniv.edu,+91-4612310044,0,,0,,Needs Follow-up,New
"Annamacharya Institute of Technology and Sciences, Kadapa",Andhra Pradesh,Engineering,JNTUK,https://aitskadapa.ac.in/about-us,,tpo@aitskadapa.ac.in,,"sunil.alluvada@annamacharyagroup.org, sunil.alluvada@annamacharyagroup.org","+91-9848129910, +91-9885112899",tpo@aitskadapa.ac.in,+91-9603999592,0,,0,,Needs Follow-up,New
Annamacharya University Kadapa,Andhra Pradesh,Engineering,,https://annamacharyauniversity.edu.in/,,,,,,info@annamacharyauniversity.edu.in,+91-8565251252,100,,0,2026-08-02T12:04:46+00:00,Failed,New
Annamalai University Chidambaram,Tamil Nadu,BCA,Various TN Universities,http://www.annamalaiuniversity.ac.in,,au_regr@ymail.com,,,,au_regr@ymail.com,+91-4144238259,0,,0,,Needs Follow-up,New
Anurag University,Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",https://anurag.edu.in/placement-statistics,,info@anurag.edu.in,,,,info@anurag.edu.in,+91-8181057057,0,,0,,Needs Follow-up,New
Apollo Engineering College,Tamil Nadu,Engineering,Anna University,http://www.apolloengineeringcollege.ac.in,,info@apolloengineeringcollege.ac.in,,,,info@apolloengineeringcollege.ac.in,+91-9500000825,0,,0,,Needs Follow-up,New
Arakalagudu Varadarajulu Kanthamma College for women,Karnataka,BCA,University of Mysore,http://www.avkchsn.ac.in,,avkc_hsn@hotmail.com,,,,avkc_hsn@hotmail.com,+91-8172268568,0,,0,,Needs Follow-up,New
"Arihant Group of Institutions - [AGI], Bangalore",Karnataka,BCA,Bangalore University,https://agiedu.in/,,enquiry@agiedu.in,,,"+91-8028435446, +91-9353108166",enquiry@agiedu.in,+91-8043770027,0,,0,,Needs Follow-up,New
Arunachala College Of Engineering For Women,Tamil Nadu,Engineering,Anna University,https://acew.edu.in,,acewomenscollege@gmail.com,,,,acewomenscollege@gmail.com,+91-9487181849,0,,0,,Needs Follow-up,New
Ashoka Women's Engineering College,Andhra Pradesh,Engineering,JNTUK,https://www.ashokacollege.in/,,director_placements@ashokacollege.in,,"placements@ashokacollege.in, placements@ashokacollege.in","+91-9963542161, +91-9885120173, +91-7680076600",director_placements@ashokacollege.in,+91-8008363232,0,,0,,Needs Follow-up,New
"Atria Institute of Technology, Bangalore",Karnataka,Engineering,VTU,https://atria.edu.in,,admissions@atria.edu,,,,admissions@atria.edu,+91-7090329032,0,,0,,Needs Follow-up,New
Avanthis Research & Technological Academy,Andhra Pradesh,Engineering,JNTUK/JNTUA (directory),http://www.arta.ac.in,,ceo@arta.ac.in,,"hq.principal@gmail.com, hq.principal@gmail.com","+91-7382416389, +91-9603766552",ceo@arta.ac.in,+91-9701023789,0,,0,,Needs Follow-up,New
B V Raju Institute of Technology,Andhra Pradesh,Engineering,"Various Deemed Universities (GITAM, KLEF, VFSTR, Vignan, Amrita)",https://www.bvricedegree.edu.in,,bvrcollege@rediffmail.com,,"principal@bvricedegree.edu.in, principal@bvricedegree.edu.in",+91-9441075996,bvrcollege@rediffmail.com,+91-8816250861,0,,0,,Needs Follow-up,New
B.C.A. College Karnataka - Other,Karnataka,BCA,,https://collegesinfo.org/course/bca,,,,"reach@collegesinfo.org, monu@onecity.co.in, collegesinfo.org@gmail.com","+91-6363330233, +91-9902332033",reach@collegesinfo.org,+91-6363330233,45,"https://collegesinfo.org/course/bca, https://collegesinfo.org/mba-colleges, https://collegesinfo.org/exams, https://collegesinfo.org/college/govt-ayurveda-medical-college-mysuru, https://collegesinfo.org/stream/medical, https://collegesinfo.org/college/university-college-mangalore, https://collegesinfo.org/college/jnana-vikas-institute-of-technology-bangalore, https://collegesinfo.org/college/oxford-college-of-engineering",0,2026-08-02T13:54:05+00:00,Needs Follow-up,New
"B.G.S. Institute of Technology, Mandya",Karnataka,Engineering,VTU,http://www.bgsit.ac.in,,principal@bgsit.ac.in,,,+91-9886108095,principal@bgsit.ac.in,+91-9845973725,0,,0,,Needs Follow-up,New
"B.L.D.E.A's V.P. Dr. P.G. Halakatti College of Engineering and Technology, Bijapur",Karnataka,Engineering,VTU,http://www.bldeacet.ac.in/,,info@bldeacet.ac.in,,"admissions@bldeacet.ac.in, principal@bldeacet.ac.in",+91-8352262945,info@bldeacet.ac.in,+91-8352261120,0,,0,,Needs Follow-up,New
